word,meaning,example
the,"art. 这；那,adv. 更加（用于比较级，最高级前）",
of,prep. 关于；属于；…的；由…组成的,
and,"conj. 和，与；就；而且；但是；然后,n. (And)人名；(土、瑞典)安德",
to,"adv. 向前；（门等）关上,prep. 到；向；（表示时间、方向）朝…方向,n. (To)人名；(柬)多；(中)脱(普通话·威妥玛)",
a,art. 一；任一；每一,
in,"prep. 按照（表示方式）；从事于；在…之内,adv. 进入；当选；（服装等）时髦；在屋里,adj. 在里面的；时髦的,n. 执政者；门路；知情者,n. (In)人名；(中)演(广东话·威妥玛)；(柬)殷(用于名字第一节)， 因；(日)寅 (名)",
for,"prep. 为，为了；因为；给；对于；至于；适合于,conj. 因为",
is,"v. 是（be的三单形式）,n. 存在",
on,"adv. 向前地；作用中，行动中；继续着,prep. 向，朝……；关于；在……之上；在……时候,adj. 开着的；发生着的，正在进行中,n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁",
that,"pron. 那；那个,adv. 那么；那样,conj. 因为；以至于,adj. 那；那个,n. (That)人名；(德)塔特",
by,"prep. 通过；被；依据；经由；在附近；在……之前,adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名",
this,"pron. 这；这个；这里,adj. 这；本；这个；今,adv. 这样地；这么,n. (This)人名；(法)蒂斯",
with,"prep. 用；随着；支持；和…在一起,n. (With)人名；(德、芬、丹、瑞典)维特",
i,"pron. 我,n. 碘元素；英语字母I",
you,"pron. 你；你们,n. (You)人名；(柬)尤；(东南亚国家华语)猷",
it,"pron. [指无生命的东西、动物、植物]它；这；那,pron. 指已提到或将提及的事物、活动、经验、抽象观念等,pron. 在不分性别或情况不详时指代,pron. 作无人称动词的主语，表示天气、时日、距离、状态、温度等等,abbr. 信息技术information technology",
not,"adv. 表示否定，不,n. “非”（计算机中逻辑运算的一种）",
or,"conj. 或，或者；还是；要不然,n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔",
be,"vt. 是； 有，存在； 做，成为； 发生,n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝",
are,"v. 是（be的第二人称单复数现在式）,n. 公亩,n. (Are)人名；(意、西、芬)阿雷",
from,"prep. 来自，从；由于；今后,n. (From)人名；(瑞典、丹、德)弗罗姆",
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于,n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）,abbr. 密封的（airtight）；气温（air temperature）",
as,"conj. 因为；随着；虽然；依照；当…时,prep. 如同；当作；以…的身份,adv. 同样地；和…一样的",
your,pron. 你的，你们的,
all,"adj. 全部的,adv. 全然地；越发,n. 全部,pron. 全部,n. (All)人名；(瑞典)阿尔；(英)奥尔",
have,"vt. 有；让；拿；从事；允许,aux. 已经,n. (Have)人名；(芬)哈韦；(德)哈弗",
new,"adj. 新的，新鲜的；更新的；初见的,adv. 新近,n. (New)人名；(英)纽",
more,"adv. 更多；此外；更大程度地,adj. 更多的；附加的,pron. 更多的数量,n. 更多,n. (More)人名；(英、法)莫尔；(意、西、以)莫雷",
an,art. 一（在元音音素前）,
was,be的第一和第三人称单数过去式,
we,"pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人,n. (We)人名；(缅)韦",
will,"n. 意志；决心；情感；遗嘱；意图；心愿,vt. 决心要；遗赠；用意志力使,vi. 愿意；下决心,aux. 将；愿意；必须",
home,"n. 家，住宅；产地；家乡；避难所,adv. 在家，回家；深入地,adj. 国内的，家庭的；有效的,vt. 归巢，回家,n. (Home)人名；(德、芬)霍梅；(英、尼)霍姆",
can,"vt. 将…装入密封罐中保存,aux. 能； 能够； 可以； 可能,n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头",
us,pron. 我们,
about,"prep. 关于；大约,adj. 在附近的；四处走动的；在起作用的,adv. 大约；周围；到处,n. 大致；粗枝大叶；不拘小节的人,n. (About)人名；(法)阿布",
if,"conj. （表条件）如果；即使；是否；（表假设）假如,n. 条件；设想",
page,"n. 页；记录；大事件，时期；男侍者,vt. 给…标页码,vi. 翻书页，浏览,n. (Page)人名；(西)帕赫；(英)佩奇；(意)帕杰；(法)帕日",
my,"pron. 我的,int. 哎呀（表示惊奇等）；喔唷,n. (My)人名；(越)美；(老、柬)米",
has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到,
